[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 43'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 42'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 41'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 40'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 38'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 39'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 38'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 38'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 38'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 38'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 38'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
